mosquito	frame	dom_behav	mean_vel	groomBB	walk_BB	probeBB	fly2	nobehav	walk_only	probe_walk	probe_only	groomvel	walkvel	probevel	flyvel	none>fly	none>probe	none>walk	none>groom	groom>fly	groom>probe	groom>walk	groom>none	walk>fly	walk>probe	walk>groom	walk>none	probe>fly	probe>walk	probe>groom	probe>none	fly>probe	fly>walk	fly>groom	fly>none	none_bouts	groom_bouts	walk_bouts	probe_bouts	fly_bouts	tSNE1_30s_1061per	tSNE2_30s_1061per
0	450	2	2.3776035257305432	0.23	0.4011111111111111	0.18222222222222223	0.022222222222222223	0.2877777777777778	0.2811111111111111	0.12	0.06222222222222222	0.6785446589901908	2.1358502290859604	1.9985983941575334	43.18606209939383	0.1	0.4	0.1	0.4	0.0	0.0	0.0	1.0	0.0	0.5714285714285714	0.0	0.42857142857142855	0.0	0.8571428571428571	0.0	0.14285714285714285	0.0	0.0	1.0	0.0	10	5	7	7	1	13.974534	18.887491
0	750	3	2.0154185404676626	0.051111111111111114	0.6733333333333333	0.2633333333333333	0.0	0.1988888888888889	0.4866666666666667	0.18666666666666668	0.07666666666666666	0.7505833212059873	2.489511307504931	2.279874925725025	0.0	0.0	0.5714285714285714	0.42857142857142855	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0	0	0	0	7	1	12	10	0	-14.380092	16.63194
0	1050	3	2.0407457601272405	0.0	0.6911111111111111	0.20444444444444446	0.0	0.2644444444444444	0.5311111111111111	0.16	0.044444444444444446	0.0	2.485531124495283	2.629570971149398	0.0	0.0	0.4	0.6	0.0	0	0	0	0	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0	0	0	0	5	0	12	8	0	-15.736565	15.495502
0	1350	2	1.5539686040616096	0.0	0.4777777777777778	0.09555555555555556	0.0	0.49333333333333335	0.4111111111111111	0.06666666666666667	0.028888888888888888	0.0	2.29629875522266	2.607907215624273	0.0	0.0	0.16666666666666666	0.8333333333333334	0.0	0	0	0	0	0.0	0.2222222222222222	0.0	0.7777777777777778	0.0	1.0	0.0	0.0	0	0	0	0	6	0	9	4	0	-13.941128	9.704302
0	1650	2	1.1867006213743683	0.0	0.4444444444444444	0.05	0.0	0.5333333333333333	0.4166666666666667	0.027777777777777776	0.022222222222222223	0.0	1.5692155837219666	1.7408703264964487	0.0	0.0	0.14285714285714285	0.8571428571428571	0.0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0	0	0	0	7	0	6	1	0	-12.895078	3.066728
0	1950	2	1.6671173755120225	0.012222222222222223	0.53	0.1622222222222222	0.0	0.42777777777777776	0.41	0.12	0.042222222222222223	1.2661747829512073	2.013842756438807	1.997612952512037	0.0	0.0	0.25	0.75	0.0	0	0	0	0	0.0	0.14285714285714285	0.0	0.8571428571428571	0.0	0.5	0.0	0.5	0	0	0	0	8	0	7	2	0	-11.576568	7.9473214
0	2250	3	2.2010466015087053	0.034444444444444444	0.5844444444444444	0.3377777777777778	0.0	0.2633333333333333	0.3844444444444444	0.2	0.13777777777777778	1.5405936294935123	2.4321324000837317	2.3121976570906067	0.0	0.0	0.36363636363636365	0.5454545454545454	0.09090909090909091	0.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	0.5	0.0	0.5	0	0	0	0	11	1	9	6	0	-10.869432	14.727754
0	2550	3	2.223752205509634	0.057777777777777775	0.5511111111111111	0.38222222222222224	0.0	0.27555555555555555	0.30444444444444446	0.24666666666666667	0.13555555555555557	1.3528822715500803	2.6140818302777444	2.250373300167322	0.0	0.0	0.3333333333333333	0.4444444444444444	0.2222222222222222	0.0	0.0	0.0	1.0	0.0	0.45454545454545453	0.0	0.5454545454545454	0.0	0.75	0.0	0.25	0	0	0	0	9	2	11	8	0	-12.716258	15.944354
0	2850	3	2.1899566164863034	0.04555555555555556	0.6366666666666667	0.2811111111111111	0.0	0.21	0.4711111111111111	0.16555555555555557	0.11555555555555555	1.3751784829040763	2.503888424763983	2.316196357340547	0.0	0.0	0.2	0.6	0.2	0.0	0.0	0.0	1.0	0.0	0.4166666666666667	0.0	0.5833333333333334	0.0	0.75	0.0	0.25	0	0	0	0	10	2	12	8	0	-12.081499	16.426981
0	3150	3	2.1229291037576448	0.023333333333333334	0.5722222222222222	0.23222222222222222	0.0	0.3333333333333333	0.4111111111111111	0.16111111111111112	0.07111111111111111	1.1058936426771435	2.423009548794498	2.2744264912520378	0.0	0.0	0.14285714285714285	0.7142857142857143	0.14285714285714285	0.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	0	0	0	0	7	1	9	4	0	-13.002859	10.654241
