mosquito	frame	dom_behav	mean_vel	groomBB	walk_BB	probeBB	fly2	nobehav	walk_only	probe_walk	probe_only	groomvel	walkvel	probevel	flyvel	none>fly	none>probe	none>walk	none>groom	groom>fly	groom>probe	groom>walk	groom>none	walk>fly	walk>probe	walk>groom	walk>none	probe>fly	probe>walk	probe>groom	probe>none	fly>probe	fly>walk	fly>groom	fly>none	none_bouts	groom_bouts	walk_bouts	probe_bouts	fly_bouts	tSNE1_30s_1061per	tSNE2_30s_1061per
0	450	2	2.331056679614698	0.07555555555555556	0.39444444444444443	0.1511111111111111	0.0	0.5333333333333333	0.2811111111111111	0.11333333333333333	0.03777777777777778	2.697706876576808	3.4734136165249567	3.7323105430913177	0.0	0.0	0.0	0.875	0.125	0.0	0.0	0.0	1.0	0.0	0.16666666666666666	0.0	0.8333333333333334	0.0	0.0	0.0	1.0	0	0	0	0	8	1	6	1	0	-12.122284	6.742517
0	750	2	2.5534233073560952	0.14222222222222222	0.5411111111111111	0.18666666666666668	0.0	0.33555555555555555	0.39222222222222225	0.14888888888888888	0.03777777777777778	1.6740258639881687	3.7781291064022673	3.6828462867475906	0.0	0.0	0.0	0.8	0.2	0.0	0.0	0.0	1.0	0.0	0.6	0.2	0.2	0.0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	5	2	5	3	0	-15.325013	5.606216
0	1050	3	3.496863730860458	0.10777777777777778	0.8033333333333333	0.22444444444444445	0.0	0.10777777777777778	0.6166666666666667	0.18666666666666668	0.03777777777777778	1.5236508244200921	4.084355307951516	3.639037715494524	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.625	0.125	0.25	0.0	0.8	0.0	0.2	0	0	0	0	4	1	8	5	0	-16.838081	11.3356905
0	1350	2	3.3917439145903168	0.06666666666666667	0.7777777777777778	0.09222222222222222	0.0	0.16333333333333333	0.6933333333333334	0.08444444444444445	0.0077777777777777776	0.5797461608761741	4.018717210767176	3.289544434016471	0.0	0.0	0.16666666666666666	0.8333333333333334	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.1	0.4	0.0	0.8333333333333334	0.0	0.16666666666666666	0	0	0	0	6	1	10	6	0	-15.291039	13.898171
0	1650	2	3.088824880872552	0.0	0.6555555555555556	0.056666666666666664	0.0	0.33666666666666667	0.6066666666666667	0.04888888888888889	0.0077777777777777776	0.0	4.112328945089968	3.187585328751078	0.0	0.0	0.16666666666666666	0.8333333333333334	0.0	0	0	0	0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	0.75	0.0	0.25	0	0	0	0	6	0	9	4	0	-14.87839	10.080568
0	1950	2	2.1132836993238837	0.0	0.4633333333333333	0.01888888888888889	0.0	0.5288888888888889	0.45222222222222225	0.011111111111111112	0.0077777777777777776	0.0	3.5351972549670365	2.6916943241890348	0.0	0.0	0.14285714285714285	0.8571428571428571	0.0	0	0	0	0	0.0	0.14285714285714285	0.0	0.8571428571428571	0.0	0.5	0.0	0.5	0	0	0	0	7	0	7	2	0	-13.474187	7.8148427
0	2250	2	2.286707492385083	0.01	0.5066666666666667	0.04888888888888889	0.0	0.48333333333333334	0.4577777777777778	0.04888888888888889	0.0	3.3521428337855292	3.705287947189666	3.1315920787001246	0.0	0.0	0.0	0.8	0.2	0.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	0	0	0	0	5	1	6	2	0	-15.047028	6.1582556
0	2550	2	2.408619455755432	0.016666666666666666	0.5388888888888889	0.04888888888888889	0.0	0.4444444444444444	0.49	0.04888888888888889	0.0	2.1577512901489206	3.5910739934426106	3.1315920787001246	0.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	0	0	0	0	6	2	6	2	0	-13.723107	6.020493
0	2850	2	2.197929629668051	0.04111111111111111	0.44	0.04888888888888889	0.0	0.5188888888888888	0.39111111111111113	0.04888888888888889	0.0	1.1783786994409942	3.741551838631144	3.1315920787001246	0.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0	1.0	0.0	0.2222222222222222	0.0	0.7777777777777778	0.0	1.0	0.0	0.0	0	0	0	0	9	3	9	2	0	-9.672753	10.589916
0	3750	2	1.0368643274438845	0.24555555555555555	0.2	0.0	0.0	0.5544444444444444	0.2	0.0	0.0	0.39878226840430714	2.820214114712434	0.0	0.0	0.0	0.0	0.23076923076923078	0.7692307692307693	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	0	13	10	2	0	0	11.716856	-11.929683
