mosquito	frame	dom_behav	mean_vel	groomBB	walk_BB	probeBB	fly2	nobehav	walk_only	probe_walk	probe_only	groomvel	walkvel	probevel	flyvel	none>fly	none>probe	none>walk	none>groom	groom>fly	groom>probe	groom>walk	groom>none	walk>fly	walk>probe	walk>groom	walk>none	probe>fly	probe>walk	probe>groom	probe>none	fly>probe	fly>walk	fly>groom	fly>none	none_bouts	groom_bouts	walk_bouts	probe_bouts	fly_bouts	tSNE1_30s_1061per	tSNE2_30s_1061per
0	2250	1	1.5500912816616765	0.42444444444444446	0.013333333333333334	0.19333333333333333	0.0	0.5322222222222223	0.0	0.013333333333333334	0.18	2.2652411412475812	0.6979892201095864	1.9080662627017473	0.0	0.0	0.16666666666666666	0.0	0.8333333333333334	0.0	0.4444444444444444	0.0	0.5555555555555556	0	0	0	0	0.0	0.0	0.8	0.2	0	0	0	0	6	9	0	5	0	2.6537476	-4.002577
0	2550	1	2.045823262323637	0.7088888888888889	0.01888888888888889	0.19333333333333333	0.0	0.2477777777777778	0.005555555555555556	0.013333333333333334	0.18	2.339846371607282	0.972212290291536	1.9080662627017473	0.0	0.0	0.16666666666666666	0.0	0.8333333333333334	0.0	0.4444444444444444	0.1111111111111111	0.4444444444444444	0.0	0.0	1.0	0.0	0.0	0.0	0.8	0.2	0	0	0	0	6	9	1	5	0	2.5699832	-4.2182684
0	2850	1	2.078104025681531	0.8744444444444445	0.02666666666666667	0.13	0.0	0.11333333333333333	0.013333333333333334	0.013333333333333334	0.11666666666666667	2.1922915026270484	1.0979956970953455	1.8110182673378223	0.0	0.0	0.0	0.0	1.0	0.0	0.3	0.2	0.5	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0	0	0	0	5	10	2	3	0	2.0110245	-5.8722754
0	3150	1	2.0024238107007966	0.8466666666666667	0.013333333333333334	0.0	0.0	0.15333333333333332	0.013333333333333334	0.0	0.0	2.1238168847951986	1.5980037933275444	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.2222222222222222	0.7777777777777778	0.0	0.0	1.0	0.0	0	0	0	0	0	0	0	0	8	9	2	0	0	4.829777	-13.875304
0	3450	1	2.0889394839761866	0.8577777777777778	0.0077777777777777776	0.0	0.0	0.14222222222222222	0.0077777777777777776	0.0	0.0	2.227106802723747	1.4250325547852503	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.14285714285714285	0.8571428571428571	0.0	0.0	1.0	0.0	0	0	0	0	0	0	0	0	6	7	1	0	0	-0.5137849	-15.402834
0	3750	1	2.2077454401345604	0.8766666666666667	0.0	0.0	0.0	0.12333333333333334	0.0	0.0	0.0	2.355091737764414	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	-0.36293137	-27.314579
0	4050	1	2.081259476113196	0.79	0.0	0.0	0.0	0.21	0.0	0.0	0.0	2.3271308220424816	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	6.9725866	-23.101553
0	4350	1	2.2340847507245214	0.79	0.0	0.006666666666666667	0.0	0.21	0.0	0.0	0.006666666666666667	2.525034055352111	0.0	2.872157083355571	0.0	0.0	0.0	0.0	1.0	0.0	0.1111111111111111	0.0	0.8888888888888888	0	0	0	0	0.0	0.0	1.0	0.0	0	0	0	0	8	9	0	1	0	9.2284975	-18.870003
0	4650	1	2.344738823214367	0.7877777777777778	0.0	0.044444444444444446	0.0	0.21222222222222223	0.0	0.0	0.044444444444444446	2.66135373503072	0.0	2.337767198479085	0.0	0.0	0.0	0.0	1.0	0.0	0.36363636363636365	0.0	0.6363636363636364	0	0	0	0	0.0	0.0	1.0	0.0	0	0	0	0	7	11	0	4	0	4.222282	-4.489194
0	4950	1	2.5850716619597507	0.9111111111111111	0.0	0.09222222222222222	0.0	0.08888888888888889	0.0	0.0	0.09222222222222222	2.69455782501443	0.0	2.9605912753544072	0.0	0.0	0.0	0.0	1.0	0.0	0.7	0.0	0.3	0	0	0	0	0.0	0.0	1.0	0.0	0	0	0	0	3	10	0	7	0	1.3595461	-1.2497222
0	5250	1	2.3707726944933616	0.9111111111111111	0.0	0.09111111111111111	0.0	0.08888888888888889	0.0	0.0	0.09111111111111111	2.4576179346953264	0.0	2.9413811711920803	0.0	0.0	0.0	0.0	1.0	0.0	0.7	0.0	0.3	0	0	0	0	0.0	0.0	1.0	0.0	0	0	0	0	3	10	0	7	0	1.3778278	-1.2695992
0	5550	1	2.3793857812071013	0.9211111111111111	0.006666666666666667	0.05333333333333334	0.0	0.07888888888888888	0.006666666666666667	0.0	0.05333333333333334	2.401313973564764	1.4713080805349248	3.417349940578825	0.0	0.0	0.0	0.0	1.0	0.0	0.4444444444444444	0.1111111111111111	0.4444444444444444	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0	0	0	0	4	9	1	4	0	0.36317357	-4.538992
0	5850	1	2.4482075949414477	0.9711111111111111	0.006666666666666667	0.09111111111111111	0.0	0.028888888888888888	0.006666666666666667	0.0	0.09111111111111111	2.4406885331674637	1.4713080805349248	2.538976906169776	0.0	0.0	0.0	0.0	1.0	0.0	0.7	0.1	0.2	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0	0	0	0	2	10	1	7	0	1.0735167	-1.1100618
0	6150	1	2.426828183514794	0.8888888888888888	0.006666666666666667	0.09555555555555556	0.0	0.10333333333333333	0.006666666666666667	0.0	0.09555555555555556	2.4370222738346774	1.4713080805349248	2.497180015496855	0.0	0.0	0.0	0.0	1.0	0.0	0.5833333333333334	0.08333333333333333	0.3333333333333333	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0	0	0	0	4	12	1	7	0	2.8866699	-1.1148521
0	6450	1	2.4731799131675203	0.9177777777777778	0.0	0.14444444444444443	0.0	0.07444444444444444	0.0	0.0	0.14444444444444443	2.496282883668851	0.0	2.5475622920793994	0.0	0.0	0.0	0.0	1.0	0.0	0.8461538461538461	0.0	0.15384615384615385	0	0	0	0	0.0	0.0	1.0	0.0	0	0	0	0	2	13	0	11	0	3.1518102	1.4460057
0	6750	1	2.469921647520789	0.8911111111111111	0.0	0.09	0.0	0.09555555555555556	0.0	0.0	0.09	2.5038544187081695	0.0	2.524444928621648	0.0	0.0	0.25	0.0	0.75	0.0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0.0	0.0	0.8571428571428571	0.14285714285714285	0	0	0	0	4	9	0	7	0	1.4297063	-1.8859553
0	7050	1	2.6644892901582264	0.9733333333333334	0.0	0.12111111111111111	0.0	0.021111111111111112	0.0	0.0	0.12111111111111111	2.6797268238790517	0.0	2.837490997023516	0.0	0.0	0.5	0.0	0.5	0.0	0.9	0.0	0.1	0	0	0	0	0.0	0.0	0.9	0.1	0	0	0	0	2	10	0	10	0	1.9347476	0.31480086
0	7350	1	2.476628216013123	0.9588888888888889	0.0	0.09888888888888889	0.0	0.035555555555555556	0.0	0.0	0.09888888888888889	2.503670464546458	0.0	2.8753596211702788	0.0	0.0	0.25	0.0	0.75	0.0	0.7	0.0	0.3	0	0	0	0	0.0	0.0	0.875	0.125	0	0	0	0	4	10	0	8	0	2.0041318	-1.0510753
0	7650	1	2.651739075794779	0.9855555555555555	0.0	0.1322222222222222	0.0	0.014444444444444444	0.0	0.0	0.1322222222222222	2.671805751972727	0.0	3.1304251512532675	0.0	0.0	0.0	0.0	1.0	0.0	0.8333333333333334	0.0	0.16666666666666666	0	0	0	0	0.0	0.0	1.0	0.0	0	0	0	0	2	12	0	9	0	2.3617299	0.53424466
0	7950	1	2.4096611550632323	0.9555555555555556	0.0	0.11777777777777777	0.0	0.03222222222222222	0.0	0.0	0.11777777777777777	2.4717558935273334	0.0	2.6086848881813807	0.0	0.0	0.25	0.0	0.75	0.0	0.7	0.0	0.3	0	0	0	0	0.0	0.0	0.875	0.125	0	0	0	0	4	10	0	8	0	2.0204358	-1.0657362
0	8250	1	2.611166164209084	0.97	0.0	0.1622222222222222	0.0	0.017777777777777778	0.0	0.0	0.1622222222222222	2.663139759502862	0.0	2.6099763637767297	0.0	0.0	0.5	0.0	0.5	0.0	0.9	0.0	0.1	0	0	0	0	0.0	0.0	0.8888888888888888	0.1111111111111111	0	0	0	0	2	10	0	9	0	1.656006	-0.110689804
